studio,polish title,release year,duration (mi),director,screenplay,genre,country,universe,boxoffice (USD),budget (USD),original title,distribution
"['Franchise Pictures', 'B.D.S. Productions Inc.', 'Brood Syndicate']",Święci z Bostonu,1999,110,['Troy Duffy'],['Troy Duffy'],['Sensational'],"['Canada', 'USA']",,,6000000,The Boondock Saints,
"['Equinoxe', 'Fandango', 'Filmcoopi Zürich']",Samsara,2011,99,['Ron Fricke'],"['Ron Fricke', 'Mark Magidson']",['Documentary'],"['USA', 'Indonesia', 'Singapore', 'Thailand', 'Kenya', 'Denmark', 'Brazil', 'Jordan', 'United Arab Emirates', 'Saudi Arabia', 'South Africa', 'Italy', 'Ghana', 'Egypt', 'China', 'Japan', 'South Korea']",,4426444,4000000,Samsara,Hagi
"['Goldcrest Films International', 'Kingsmere Productions Ltd.', 'Warner Bros.']",Misja,1986,126,['Roland Joffé'],['Robert Bolt'],"['Drama', 'Costume']","['Great Britain', 'France']",,17502499,24500000,The Mission,
"['Polski Instytut Sztuki Filmowej', 'Studio Filmowe Oko', 'Studio Filmowe Perspektywa']",Róża,2011,98,['Wojciech Smarzowski'],['Michał Szczerbic'],['Drama'],['Poland'],,2339514,,Róża,Monolith Films
"['Studio Filmowe Zebra', 'Agencja Produkcji Filmowej', 'Canal+ Polska']",Kiler,1997,104,['Juliusz Machulski'],['Piotr Wereśniak'],"['Comedy', 'Sensational']",['Poland'],,,,Kiler,
"['Warner Bros.', 'Heyday Films', 'Moving Picture Company']",Harry Potter i Insygnia Śmierci: Część II,2011,130,['David Yates'],['Steve Kloves'],"['Family', 'Fantasy', 'Adventure']","['USA', 'Great Britain']",['Harry Potter'],1342359942,125000000,Harry Potter and the Deathly Hallows: Part 2,Warner Bros. Entertainment Polska Sp. z o. o.
"['Warner Bros.', 'Internationale Filmproduktion Blackbird Dritte', 'Lin Pictures']",Sherlock Holmes,2009,128,['Guy Ritchie'],"['Michael Robert Johnson', 'Simon Kinberg']","['Crime', 'Adventure']","['USA', 'Germany']",,524028679,90000000,Sherlock Holmes,Warner Bros. Entertainment Polska Sp. z o. o.
['Warner Bros.'],Casablanca,1942,102,['Michael Curtiz'],"['Casey Robinson', 'Murray Burnett']","['Crime', 'Drama']",['USA'],,4571400,950000,Casablanca,Vivarto
"['Paramount Pictures', 'Red Granite Pictures', 'Appian Way']",Wilk z Wall Street,2013,179,['Martin Scorsese'],['Terence Winter'],"['Biography', 'Crime', 'Comedy']",['USA'],,406878233,100000000,The Wolf of Wall Street,Monolith Films
"['EM Jolanta Dobosz', 'SPI International', 'Studio Orka']",Symetria,2003,99,['Konrad Niewolski'],['Konrad Niewolski'],['Drama'],['Poland'],,,,Symetria,SPI International Polska Sp. z o.o.
"['Boo Pictures', 'Les Films des Tournelles', 'Louverture Films']",Kafarnaum,2018,120,['Nadine Labaki'],"['Nadine Labaki', 'Khaled Mouzanar']",['Drama'],"['Lebanon', 'USA']",,64417003,4000000,Cafarnaúm,Gutek Film
"['Imagine Entertainment', 'Malpaso Productions', 'Relativity Media']",Oszukana,2008,140,['Clint Eastwood'],['J. Michael Straczynski'],['Drama'],['USA'],,113398237,55000000,Changeling,United International Pictures Sp z o.o.
"['Canal+ Polska', 'Film It', 'Narodowe Centrum Kultury']",Wołyń,2016,150,['Wojciech Smarzowski'],['Wojciech Smarzowski'],"['Drama', 'War']",['Poland'],,6960645,,Wołyń,Forum Film Poland
['Twentieth Century Fox Film Corporation'],Edward Nożycoręki,1990,105,['Tim Burton'],"['Tim Burton', 'Caroline Thompson']","['Drama', 'Fantasy']",['USA'],,86024005,20000000,Edward Scissorhands,
"['Przedsiębiorstwo Realizacji Filmów ""Zespoły Filmowe""', 'Studio Filmowe Tor']",Krótki film o zabijaniu,1987,84,['Krzysztof Kieślowski'],"['Krzysztof Kieślowski', 'Krzysztof Piesiewicz']","['Drama', 'Psychological']",['Poland'],,,,Krótki film o zabijaniu,
['Lawrence Turman'],Absolwent,1967,105,['Mike Nichols'],"['Buck Henry', 'Calder Willingham']",['Drama'],['USA'],,105015008,3000000,The Graduate,Vision Film Distribution
['Wytwórnia Filmów Dokumentalnych'],Gadające głowy,1980,14,['Krzysztof Kieślowski'],['Krzysztof Kieślowski'],"['Documentary', 'Short']",['Poland'],,,,Gadające głowy,
"['Warner Bros.', 'DC Comics', 'DC Entertainment']",Mroczny Rycerz powstaje,2012,165,['Christopher Nolan'],"['Jonathan Nolan', 'Christopher Nolan']","['Action', 'Sci-fi']","['USA', 'Great Britain']",['DC'],1081169825,250000000,The Dark Knight Rises,Warner Bros. Entertainment Polska Sp. z o. o.
"['Filmtribe', 'Lionsgate', 'Mimran Schur Pictures']",Wojownik,2011,140,"[""Gavin O'Connor""]","[""Gavin O'Connor"", 'Anthony Tambakis']","['Drama', 'Sporty']",['USA'],,23308615,25000000,Warrior,
"['Penta Entertainment', 'Price Entertainment', 'Silvio Berlusconi Communications']",Prawo Bronxu,1993,121,['Robert De Niro'],['Chazz Palminteri'],"['Drama', 'Crime']",['USA'],,17287898,22000000,A Bronx Tale,Monolith Video
"['Altitude Film Entertainment', 'Netflix', 'Silverback Films']",David Attenborough: Życie na naszej planecie,2020,83,"['Alastair Fothergill', 'Jonathan Hughes']",,"['Documentary', 'Nature']",['Great Britain'],,,,David Attenborough: A Life On Our Planet,Netflix
"['Walt Disney Pictures', 'Pixar Animation Studios']",W głowie się nie mieści,2015,94,['Pete Docter'],"['Pete Docter', 'Meg LeFauve']","['Animation', 'Comedy']",['USA'],['Pixar'],858848019,175000000,Inside Out,Disney
['Jurow-Shepherd'],Śniadanie u Tiffany'ego,1961,115,['Blake Edwards'],['George Axelrod'],['Drama'],['USA'],,9794702,2500000,Breakfast at Tiffany's,
"['Marvel Entertainment', 'Marvel Studios', 'Screen Queensland']",Thor: Ragnarok,2017,130,['Taika Waititi'],"['Craig Kyle', 'Christopher L. Yost']","['Fantasy', 'Adventure']",['USA'],['Marvel'],853983879,180000000,Thor: Ragnarok,Disney
"['Chartoff-Winkler Productions', 'United Artists']",Rocky,1976,119,['John G. Avildsen'],['Sylvester Stallone'],"['Drama', 'Sporty']",['USA'],,117250402,960000,Rocky,
"['Jerry Bruckheimer Films', 'River Road Entertainment', 'Second Mate Productions']",Piraci z Karaibów: Na krańcu świata,2007,169,['Gore Verbinski'],"['Ted Elliott', 'Terry Rossio']","['Fantasy', 'Adventure']",['USA'],['Piraci z Karaibów'],960996492,300000000,Pirates of the Caribbean: At World's End,Forum Film Poland
['Universal Pictures'],W imię ojca,1993,133,['Jim Sheridan'],"['Jim Sheridan', 'Terry George']","['Biography', 'Drama']","['Ireland', 'Great Britain']",,65796862,13000000,In the Name of the Father,
"['Paramount Pictures', 'Lucasfilm']",Poszukiwacze zaginionej Arki,1981,115,['Steven Spielberg'],['Lawrence Kasdan'],['Adventure'],['USA'],,389925971,18000000,Raiders of the Lost Ark,Syrena EG
"['Mandalay Entertainment', 'Baltimore Pictures', 'Mark Johnson Productions']",Donnie Brasco,1997,127,['Mike Newell'],['Paul Attanasio'],"['Biography', 'Crime']",['USA'],,124909762,35000000,Donnie Brasco,Vision Film Distribution
"['Lionsgate', 'FilmNation Entertainment', 'Media Rights Capital']",Na noże,2019,130,['Rian Johnson'],['Rian Johnson'],"['Drama', 'Comedy', 'Crime']",['USA'],,312897920,40000000,Knives Out,Monolith Films
"['Paramount Pictures', 'Warner Bros.', 'The Kennedy/Marshall Company']",Ciekawy przypadek Benjamina Buttona,2008,166,['David Fincher'],"['Eric Roth', 'Robin Swicord']","['Fantasy', 'Drama']",['USA'],,335802786,150000000,The Curious Case of Benjamin Button,Warner Bros. Entertainment Polska Sp. z o. o.
